FID,OBJECTID,SHAPE,STATION,LINIE,BEMERKUNG,ANLAGEN_ID,GRUPPEN_ID,SE_ANNO_CAD_DATA
AUFZUGOGD.1,1,POINT (16.369392226406138 48.202103376514366),Karlsplatz,U1,Aufzug fährt vom U1 Bahnsteig in die Karlsplatzpassage.,KP A03,KP A04,
AUFZUGOGD.2,2,POINT (16.424072365647994 48.2379798500527),Alte Donau,U1,Aufzug fährt vom Aufnahmegebäude Ausgang Arbeiterstrandbadstraße auf den U1-Seitenbahnsteig (Fahrtrichtung 2 nach Reumannplatz),AD A02, ,
AUFZUGOGD.3,3,POINT (16.415758958425307 48.23262187991887),Kaisermühlen,U1,Aufzug fährt vom Aufnahmegebäude Ausgang Schüttaustraße auf den U1-Seitenbahnsteig (Fahrtrichtung 2 nach Reumannplatz),KM A02, ,
AUFZUGOGD.4,4,POINT (16.416022227411663 48.232441653556336),Kaisermühlen,U1,Aufzug fährt vom Aufnahmegebäude Ausgang Schüttaustraße auf den U1-Seitenbahnsteig (Fahrtrichtung 1 nach Leopoldau),KM A01, ,
AUFZUGOGD.5,5,POINT (16.443653066233757 48.25074929264833),Kagraner Platz,U1,Aufzug fährt vom U1-Mittelbahnsteig in das stadtauwärtige Aufnahmegebäude Ausgang Kagraner Platz,KT A04,KT A04,
AUFZUGOGD.6,6,POINT (16.443673028397036 48.250747777512714),Kagraner Platz,U1,Aufzug fährt vom U1-Mittelbahnsteig in das stadtauwärtige Aufnahmegebäude Ausgang Kagraner Platz,KT A03,KT A04,
AUFZUGOGD.7,7,POINT (16.44296039464736 48.24991047668024),Kagraner Platz,U1,Aufzug fährt vom U1-Mittelbahnsteig in das stadteinwärtige Aufnahmegebäude Ausgang Donaufelderstraße/Wagramerstraße.,KT A02,KT A01,
AUFZUGOGD.8,8,POINT (16.44298224082006 48.249907918510125),Kagraner Platz,U1,Aufzug fährt vom U1-Mittelbahnsteig in das stadteinwärtige Aufnahmegebäude Ausgang Donaufelderstraße/Wagramerstraße.,KT A01,KT A01,
AUFZUGOGD.9,9,POINT (16.450068814335367 48.2581957059109),Rennbahnweg,U1,Aufzug fährt vom U1 Mittelbahnsteig in das stadtauswärtige Aufnahmegebäude Ausgang Wagramerstraße,RB A02, ,
AUFZUGOGD.10,10,POINT (16.449251839605257 48.257049789271505),Rennbahnweg,U1,Aufzug fährt vom U1-Mittelbahnsteig in das stadteinwärtige Aufnahmegebäude Ausgang Rennbahnweg,RB A01, ,
AUFZUGOGD.11,11,POINT (16.451686384049662 48.26413106523472),Aderklaaer Straße,U1,Aufzug fährt vom U1-Mittelbahnsteig in das stadtauswärtige Aufnahmegebäude Ausgang Baldassgasse,AK A02, ,
AUFZUGOGD.12,12,POINT (16.451557561876744 48.262841548454006),Aderklaaer Straße,U1,Aufzug fährt vom U1-Mittelbahnsteig in das stadteinwärtige Aufnahmegebäude Ausgang Aderklaaer Straße,AK A01, ,
AUFZUGOGD.13,13,POINT (16.447557630753955 48.27172644143411),Großfeldsiedlung,U1,Aufzug fährt vom U1-Mittelbahnsteig in das stadtauswärtige Aufnahmegebäude Ausgang Gitlbauergasse/Kürschnergasse,GF A02, ,
AUFZUGOGD.14,14,POINT (16.44817177988955 48.27038543920952),Großfeldsiedlung,U1,Aufzug fährt vom U1-Mittelbahnsteig in das stadteinwärtige Aufnahmegebäude Ausgang Dopschstraße,GF A01, ,
AUFZUGOGD.15,15,POINT (16.4526605052263 48.277519225185586),Leopoldau,U1,Aufzug fährt vom Zwischengeschoss (Parkhaus) in das stadtauswärtige Aufnahmegebäude Ausgang Schererstraße,LU A04, ,
AUFZUGOGD.16,16,POINT (16.451046205860536 48.277199629093616),Leopoldau,U1,Aufzug fährt von der Passage in das Aufnahmegebäude Ausgang Schererstraße,LU A03, ,
AUFZUGOGD.17,17,POINT (16.4525658019086 48.277674776280065),Leopoldau,U1,Aufzug fährt vom Zwischengeschoss (Parkhaus) auf den U1-Mittelbahnsteig,LU A02, ,
AUFZUGOGD.18,18,POINT (16.451330645710314 48.27740476761723),Leopoldau,U1,Aufzug fährt von der Passage auf den U1-Mittelbahnsteig,LU A01, ,
AUFZUGOGD.19,19,POINT (16.39290098518365 48.21969980794623),Praterstern,U1,Aufzug fährt vom U1-Seitenbahnsteig (Fahrtrichtung 1 nach Leopoldau) in das Zwischengeschoß (Übergang zur U2) und in das Aufnahmegebäude Ausgang Lassallestraße,PR A02, ,
AUFZUGOGD.20,20,POINT (16.392983976821608 48.21961965941393),Praterstern,U1,Aufzug fährt vom U1-Seitenbahnsteig (Fahrtrichtung 2 nach Reumannplatz) in das Zwischengeschoß (Übergang zur U2) und in das Aufnahmegebäude Ausgang Lassallestraße,PR A01, ,
AUFZUGOGD.21,21,POINT (16.400500003535516 48.22309680985474),Vorgartenstraße,U1,Aufzug fährt vom U1-Seitenbahnsteig (Fahrtrichtung 1 nach Leopoldau) in das stadteinwärtige Aufnahmegebäude Ausgang Radingerstraße,VS A01, ,
AUFZUGOGD.22,22,POINT (16.400127672040252 48.223392068050074),Vorgartenstraße,U1,Aufzug fährt vom U1-Seitenbahnsteig (Fahrtrichtung 2 nach Reumannplatz) in das stadteinwärtige Aufnahmegebäude Ausgang Radingerstraße,VS A02, ,
AUFZUGOGD.23,23,POINT (16.371780840298616 48.20914611040118),Stephansplatz,U1,Aufzug fährt vom Zwischengeschoß an die Oberfläche Ausgang Stephansplatz,SZ A04, ,
AUFZUGOGD.24,24,POINT (16.371604926040725 48.208035462670054),Stephansplatz,U1,Aufzug fährt vom U1-Bahnsteig (beide Fahrtrichtungen) auf den U3-Seitenbahnsteig (Fahrtrichtung 2 nach Ottakring) und auf den U3-Seitenbahnsteig (Fahrtrichtung nach Simmering) und in das Zwischengeschoß,SZ A03,SZ A01,
AUFZUGOGD.25,25,POINT (16.371559013472186 48.20804761135333),Stephansplatz,U1,Aufzug fährt vom U1-Bahnsteig (beide Fahrtrichtungen) auf den U3-Seitenbahnsteig (Fahrtrichtung 2 nach Ottakring) und auf den U3-Seitenbahnsteig (Fahrtrichtung nach Simmering) und in das Zwischengeschoß,SZ A01,SZ A01,
AUFZUGOGD.26,26,POINT (16.371580368762125 48.208042608146535),Stephansplatz,U1,Aufzug fährt vom U1-Bahnsteig (beide Fahrtrichtungen) auf den U3-Seitenbahnsteig (Fahrtrichtung 2 nach Ottakring) und auf den U3-Seitenbahnsteig (Fahrtrichtung nach Simmering) und in das Zwischengeschoß,SZ A02,SZ A01,
AUFZUGOGD.27,27,POINT (16.432685422314442 48.242828558249066),Kagran,U1,Aufzug fährt vom Aufnahmegebäude Ausgang Anton-Sattler-Gasse auf den U1-Mittelbahnsteig,ZK A01, ,
AUFZUGOGD.28,28,POINT (16.424268888708337 48.23785739645308),Alte Donau,U1,Aufzug fährt vom Aufnahmegebäude Ausgang Arbeiterstrandbadstraße auf den U1-Mittelbahnsteig (Fahrtrichtung 1 nach Leopoldau),AD A01, ,
AUFZUGOGD.29,29,POINT (16.369392226406138 48.202103376514366),Karlsplatz,U1,Aufzug fährt vom U1 Bahnsteig in die Karlsplatzpassage.,KP A04,KP A04,
AUFZUGOGD.30,30,POINT (16.36624251814007 48.2006642845427),Karlsplatz,U1,Aufzug fährt von der Passage (Ostpassage) an die Oberfläche Ausgang Secession.,KP A07, ,
AUFZUGOGD.31,31,POINT (16.373592019134193 48.18646362733149),Südtirolerplatz,U1,Aufzug fährt vom Bahnsteig ins Zwischengeschoß zum alten Südtirolerplatz und ins obere Zwischengeschoß Aufgang Favoritenstraße.,SL A01,SL A01,
AUFZUGOGD.32,32,POINT (16.373592019134193 48.18646362733149),Südtirolerplatz,U1,Aufzug fährt vom Bahnsteig ins Zwischengeschoß zum alten Südtirolerplatz und ins Zwischengeschoß zum Aufgang Favoritenstraße.,SL A02,SL A01,
AUFZUGOGD.33,33,POINT (16.37695743188179 48.2116206923756),Schwedenplatz,U1,Aufzug fährt vom U1-Bahnsteig (beide Fahrtrichtungen) in das Zwischengeschoß (Übergang zur U4) und in das Aufnahmegebäude Ausgang Schwedenplatz,SP A01, ,
AUFZUGOGD.34,34,POINT (16.377920490052777 48.21184861396844),Schwedenplatz,U1,Aufzug fährt vom Zwischengeschoß (Übergang zur U1) auf den U4-Mittelbahnsteig.,SP A02, ,
AUFZUGOGD.35,35,POINT (16.37785306805431 48.211827064782945),Schwedenplatz,U1,Aufzug fährt vom U1-Bahnsteig (beide Fahrtrichungen) in das Zwischengeschoß (Übergang zur U4),SP A03, ,
AUFZUGOGD.36,36,POINT (16.37327233508802 48.18623958627557),Südtirolerplatz,U1,Aufzug fährt von der Zwischengeschoß (Passage) an die Oberfläche Aufgang Favoritenstraße.,SL A03, ,
AUFZUGOGD.37,37,POINT (16.37039559718099 48.19373226272004),Taubstummengasse,U1,Der Aufzug fährt vom Bahnsteig der Linie U1 an die Oberfläche Favoritenstraße.,TA A01, ,
AUFZUGOGD.38,38,POINT (16.376127065385518 48.179310132491736),Keplerplatz,U1,Aufzug fährt vom Bahnsteig der Linie U1 an die Oberfläche.,KE A01, ,
AUFZUGOGD.39,39,POINT (16.392913564075645 48.21873398759651),Praterstern,U1,Aufzug fährt vom U2-Mittelbahnsteig in das Zwischengeschoss (Übergang zur U1) und in die Passage,PR A04,PR A03,
AUFZUGOGD.40,40,POINT (16.394563827211105 48.21838354055104),Praterstern,U1,Aufzug fährt vom U2-Mittelbahnsteig in das Aufnahmegebäude Ausgang Venediger Au/Ausstellungsstraße,PR A06, ,
AUFZUGOGD.41,41,POINT (16.392876069195257 48.2187419381021),Praterstern,U1,Aufzug fährt vom U2-Mittelbahnsteig in das Zwischengeschoss (Übergang zur U1) und in die Passage,PR A05,PR A03,
AUFZUGOGD.42,42,POINT (16.392973845828706 48.21872475776361),Praterstern,U1,Aufzug fährt vom U2-Mittelbahnsteig in das Zwischengeschoss (Übergang zur U1) und in die Passage,PR A03,PR A03,
AUFZUGOGD.43,43,POINT (16.390423306096363 48.21871266706558),Praterstern,U1,Aufzug fährt von der Passage in das stadteinwärtige Aufnahmegebäude Praterstraße,PR A07, ,
AUFZUGOGD.44,44,POINT (16.385490558992753 48.215271517832164),Nestroyplatz,U1,Aufzug fährt vom U1-Mittelbahnsteig an die Oberfläche Ausgang Praterstraße,NP A01, ,
AUFZUGOGD.45,45,POINT (16.377642044147215 48.17558019279746),Reumannplatz,U1,Aufzug fährt vom Bahnsteig der Linie U1 an die Oberfläche Ausgang Favoritenstraße (Stadteinwärtige Seite),RP A01, ,
AUFZUGOGD.46,46,POINT (16.356709296503634 48.20585041164454),Volkstheater,U2,Aufzug fährt vom U2 Bahnsteig der Linie U2 Gleis 1 Richtung Karlsplatz an die Oberfläche.,VT A08, ,
AUFZUGOGD.47,47,POINT (16.357569557632917 48.2058851527888),Volkstheater,U2,Aufzug fährt vom U2 Bahnsteig der Linie U2 Gleis 2 Richtung Aspernstraße an die Oberfläche.,VT A07, ,
AUFZUGOGD.48,48,POINT (16.361070253173278 48.202529584899125),Museumsquartier,U2,Aufzug fährt vom Seitenbahnsteig (Fahrtrichtung 1 nach Karlsplatz) in das Zwischengeschoss und in das Aufnahmegebäude Ausgang Museumsquartier,BA A01, ,
AUFZUGOGD.49,49,POINT (16.361337385008074 48.20288882311074),Museumsquartier,U2,Aufzug fährt vom Seitenbahnsteig (Fahrtrichtung 2 nach Aspernstraße) in das Zwischengeschoss und in das Aufnahmegebäude Ausgang Museumsquartier,BA A02, ,
AUFZUGOGD.50,50,POINT (16.355640417326097 48.210416116420326),Rathaus,U2,Aufzug fährt vom Seitenbahnsteig (Fahrtrichtung 2 nach Aspernstraße) in das Aufnahmegebäude Ausgang Friedrich-Schmidt-Platz,RH A02, ,
AUFZUGOGD.51,51,POINT (16.35518277538955 48.21022821726812),Rathaus,U2,Aufzug fährt vom Seitenbahnsteig (Fahrtrichtung 1 nach Karlsplatz) in das Aufnahmegebäude Ausgang Josefstädter Straße,RH A01, ,
AUFZUGOGD.52,52,POINT (16.368628125018695 48.20100865339945),Karlsplatz,U2,Der Aufzug fährt von U2 Bahnsteig Endstation in das Zwischengeschoß und in die Passage,KP A06, ,
AUFZUGOGD.53,53,POINT (16.368705839627385 48.20113712153009),Karlsplatz,U2,Der Aufzug fährt vom Bahnsteig der Linie U3 Richtung Aspernstraße in das Zwischengeschoß und in die Passage.,KP A02, ,
AUFZUGOGD.54,54,POINT (16.36252932645713 48.21487047883734),Schottentor,U2,Aufzug fährt vom U2-Mittelbahnsteig in die Passage,SO A01, ,
AUFZUGOGD.55,55,POINT (16.43214599681354 48.20662619577465),Donaumarina,U2,Aufzug fährt vom stadtauswärtigen Aufnahmegebäude Ausgang Donaumarina auf den U2-Seitenbahnsteig (Fahrtrichtung 2 nach Aspernstraße),DM A06, ,
AUFZUGOGD.56,56,POINT (16.43194693294351 48.206775155957),Donaumarina,U2,Aufzug fährt vom stadtauswärtigen Aufnahmegebäude Ausgang Donaumarina auf den U2-Seitenbahnsteig (Fahrtrichtung 1 nach Karlsplatz),DM A05, ,
AUFZUGOGD.57,57,POINT (16.43106092977727 48.20607348006813),Donaumarina,U2,Aufzug fährt vom stadteinwärtigen Aufnahmegebäude Ausgang Wehlistraße auf den U2-Seitenbahnsteig (Fahrtrichtung 2 nach Aspernstraße),DM A04,DM A04,
AUFZUGOGD.58,58,POINT (16.43108510062921 48.2060544242236),Donaumarina,U2,Aufzug fährt vom stadteinwärtigen Aufnahmegebäude Ausgang Wehlistraße auf den U2-Seitenbahnsteig (Fahrtrichtung 2 nach Aspernstraße),DM A03,DM A04,
AUFZUGOGD.59,59,POINT (16.43090836987642 48.20621827575327),Donaumarina,U2,Aufzug fährt vom stadteinwärtigen Aufnahmegebäude Ausgang Wehlistraße auf den U2-Seitenbahnsteig (Fahrtrichtung 1 nach Karlsplatz),DM A02,DM A01,
AUFZUGOGD.60,60,POINT (16.430923528611864 48.206202400172856),Donaumarina,U2,Aufzug fährt vom stadteinwärtigen Aufnahmegebäude Ausgang Wehlistraße auf den U2-Seitenbahnsteig (Fahrtrichtung 1 nach Karlsplatz),DM A01,DM A01,
AUFZUGOGD.61,61,POINT (16.457735805848287 48.2209060511583),Hardeggasse,U2,Aufzug fährt vom Aufnahmgebäude Ausgang Hardeggasse auf den Mittelbahnsteig,AR A02,AR A01,
AUFZUGOGD.62,62,POINT (16.457736349738894 48.22089591439321),Hardeggasse,U2,Aufzug fährt vom Aufnahmgebäude Ausgang Hardeggasse auf den Mittelbahnsteig,AR A01,AR A01,
AUFZUGOGD.63,63,POINT (16.44074017233857 48.21204636017962),Donaustadtbrücke,U2,Aufzug fährt vom stadtauswärtigen Aufnahmegebäude Ausgang Effenbergplatz auf den U2-Seitenbahnsteig (Fahrtrichtung 2 nach Aspernstraße),DT A04, ,
AUFZUGOGD.64,64,POINT (16.440541024600194 48.212152822655014),Donaustadtbrücke,U2,Aufzug fährt vom stadtauswärtigen Aufnahmegebäude Ausgang Effenbergplatz auf den U2-Seitenbahnsteig (Fahrtrichtung 1 nach Karlsplatz),DT A03, ,
AUFZUGOGD.65,65,POINT (16.439658208370293 48.211369675044466),Donaustadtbrücke,U2,Aufzug fährt vom stadteinwärtigen Aufnahmegebäude Ausgang Neue Donau auf den U2-Seitenbahnsteig (Fahrtrichtung 2 nach Aspernstraße),DT A02, ,
AUFZUGOGD.66,66,POINT (16.43948998063467 48.21150862715795),Donaustadtbrücke,U2,Aufzug fährt vom stadteinwärtigen Aufnahmegebäude Ausgang Neue Donau auf den U2-Seitenbahnsteig (Fahrtrichtung 1 nach Karlsplatz),DT A01, ,
AUFZUGOGD.67,67,POINT (16.44078203334389 48.21226475451514),Donaustadtbrücke,U2,Aufzug fährt vom Effenbergplatz zur Passage zur Parkgarage,DT A05, ,
AUFZUGOGD.68,68,POINT (16.450356594398656 48.22013570697088),Stadlau,U2,Aufzug fährt vom stadtauswärtigen Aufnahmegebäude Ausgang Konstanziagasse auf den U2-Mittelbahnsteig,SD A04,SD A04,
AUFZUGOGD.69,69,POINT (16.450383854442883 48.22011902363461),Stadlau,U2,Aufzug fährt vom stadtauswärtigen Aufnahmegebäude Ausgang Konstanziagasse auf den U2-Mittelbahnsteig,SD A03,SD A04,
AUFZUGOGD.70,70,POINT (16.448567619679352 48.219325447687766),Stadlau,U2,Aufzug fährt vom stadteinwärtigen Aufnahmegebäude Ausgang Kaisermühlenstraße auf den ÖBB-Mittelbahnsteig und auf den U2-Mittelbahnsteig,SD A02,SD A01,
AUFZUGOGD.71,71,POINT (16.448545806914176 48.21933657378763),Stadlau,U2,Aufzug fährt vom stadteinwärtigen Aufnahmegebäude Ausgang Kaisermühlenstraße auf den ÖBB-Mittelbahnsteig und auf den U2-Mittelbahnsteig,SD A01,SD A01,
AUFZUGOGD.72,72,POINT (16.467625532857504 48.21925921574179),Donauspital,U2,Aufzug fährt vom stadtauswärtigen Aufnahmegebäude Ausgang Kapellenweg auf den Mittelbahnsteig,DP A02, ,
AUFZUGOGD.73,73,POINT (16.465352117694255 48.21959206069706),Donauspital,U2,Aufzug fährt vom stadteinwärtigen Aufnahmegebäude Ausgang Zschokkegasse auf den Mittelbahnsteig,DP A01, ,
AUFZUGOGD.74,74,POINT (16.474436598348415 48.22196584171962),Aspernstraße,U2,Aufzug fährt vom stadteinwärtigen Aufnahmegebäude Ausgang Erzherzog-Karl Straße auf den Mittelbahnsteig,AP A02, ,
AUFZUGOGD.75,75,POINT (16.47481252085769 48.22245856710159),Aspernstraße,U2,Aufzug fährt vom stadtauswärtigen Aufnahmegebäude Ausgang Aspernstraße auf den Mittelbahnsteig,AP A01, ,
AUFZUGOGD.76,76,POINT (16.38241501040019 48.219416863958635),Taborstraße,U2,Aufzug fährt vom U2-Bahnsteig in das stadtauswärtige Aufnahmegebäude Ausgang Novaragasse,TB A03,TB A02,
AUFZUGOGD.77,77,POINT (16.380464735586912 48.2191106865421),Taborstraße,U2,Aufzug fährt vom U2-Bahnsteig in das Zwischengeschoß und in das stadteinwärtige Aufnahmegebäude Ausgang Taborstraße/Obere Augartenstraße,TB A01, ,
AUFZUGOGD.78,78,POINT (16.382246510746114 48.21945500342556),Taborstraße,U2,Aufzug fährt vom U2-Bahnsteig in das stadtauswärtige Aufnahmegebäude Ausgang Novaragasse,TB A02,TB A02,
AUFZUGOGD.79,79,POINT (16.40602179723392 48.21778848915434),Messe - Prater,U2,Aufzug fährt vom stadtauswärtigen Aufnahmegebäude Ausgang Messe auf den U2-Mittelbahnsteig,MS A02, ,
AUFZUGOGD.80,80,POINT (16.403797681434153 48.217779509641204),Messe - Prater,U2,Aufzug fährt vom stadteinwärtigen Aufnahmegebäude Prater auf den U2-Mittelbahnsteig,MS A01, ,
AUFZUGOGD.81,81,POINT (16.412970155644473 48.21508893755466),Krieau,U2,Aufzug fährt vom stadteinwärtigen Aufnahmegebäude Ausgang Sturgasse auf den U2-Mittelbahnsteig,KI A01, ,
AUFZUGOGD.82,82,POINT (16.41460539247445 48.21423599188481),Krieau,U2,Aufzug fährt vom stadtauswärtigen Aufnahmegebäude Ausgang Krieau auf den U2-Mittelbahnsteig,KI A02, ,
AUFZUGOGD.83,83,POINT (16.37115493350802 48.21718100843882),Schottenring,U2,Aufzug fährt vom U2-Bahnsteig auf den U4-Mittelbahnsteig und in das Aufnahmegebäude Ausgang Schottenring,SR A02,SR A01,
AUFZUGOGD.84,84,POINT (16.37121309383655 48.21719923239829),Schottenring,U2,Aufzug fährt vom U2-Bahnsteig auf den U4-Mittelbahnsteig und in das Aufnahmegebäude Ausgang Schottenring,SR A01,SR A01,
